"","scientific_name","longitude","latitude","species_observed"
"98","Aerodramus fuciphagus",134.421683,-14.696845,TRUE
"99","Aerodramus fuciphagus",134.331314,-14.687467,TRUE
"100","Aerodramus fuciphagus",143.66212,-14.67925,TRUE
"101","Aerodramus fuciphagus",131.995426,-14.676537,TRUE
"102","Aerodramus fuciphagus",145.475491,-14.674374,TRUE
"103","Aerodramus fuciphagus",125.733087,-14.672559,TRUE
"104","Aerodramus fuciphagus",125.79566,-14.66452,TRUE
"105","Aerodramus fuciphagus",143.8378766,-14.662102,TRUE
"106","Aerodramus fuciphagus",132.6673941,-14.6584988,TRUE
"107","Aerodramus fuciphagus",132.109826,-14.6566,TRUE
"108","Aerodramus fuciphagus",131.705795,-14.655462,TRUE
"109","Aerodramus fuciphagus",121.272057,-14.650438,TRUE
"110","Aerodramus fuciphagus",143.632873,-14.6328,TRUE
"111","Aerodramus fuciphagus",132.6242,-14.63208,TRUE
"112","Aerodramus fuciphagus",131.929096,-14.63116,TRUE
"113","Aerodramus fuciphagus",143.969365,-14.627911,TRUE
"114","Aerodramus fuciphagus",143.4579819,-14.6259663,TRUE
"115","Aerodramus fuciphagus",132.03906,-14.61707,TRUE
"116","Aerodramus fuciphagus",132.136131,-14.615942,TRUE
"117","Aerodramus fuciphagus",125.79778,-14.615,TRUE
"118","Aerodramus fuciphagus",144.270299,-14.613421,TRUE
"119","Aerodramus fuciphagus",132.573764,-14.609181,TRUE
"120","Aerodramus fuciphagus",143.922088,-14.606197,TRUE
"121","Aerodramus fuciphagus",132.447994,-14.604596,TRUE
"122","Aerodramus fuciphagus",121.297272,-14.599613,TRUE
"123","Aerodramus fuciphagus",132.717096,-14.5961985,TRUE
"124","Aerodramus fuciphagus",134.907549,-14.593023,TRUE
"125","Aerodramus fuciphagus",134.9598402,-14.5927955,TRUE
"126","Aerodramus fuciphagus",131.707419,-14.587386,TRUE
"127","Aerodramus fuciphagus",132.0684743,-14.5783503,TRUE
"128","Aerodramus fuciphagus",132.0165258,-14.5750513,TRUE
"129","Aerodramus fuciphagus",144.7112911,-14.5736214,TRUE
"130","Aerodramus fuciphagus",125.8437404,-14.568209,TRUE
"131","Aerodramus fuciphagus",133.10005,-14.56165,TRUE
"132","Aerodramus fuciphagus",132.748992,-14.56052,TRUE
"133","Aerodramus fuciphagus",132.494364,-14.558793,TRUE
"134","Aerodramus fuciphagus",125.540471,-14.558777,TRUE
"135","Aerodramus fuciphagus",143.9669,-14.5568,TRUE
"136","Aerodramus fuciphagus",121.324699,-14.554443,TRUE
"137","Aerodramus fuciphagus",132.19452,-14.55412,TRUE
"138","Aerodramus fuciphagus",132.129621,-14.547557,TRUE
"139","Aerodramus fuciphagus",144.214024,-14.543196,TRUE
"140","Aerodramus fuciphagus",143.84193,-14.5414,TRUE
"141","Aerodramus fuciphagus",132.43546,-14.540361,TRUE
"142","Aerodramus fuciphagus",132.688381,-14.537462,TRUE
"143","Aerodramus fuciphagus",132.788196,-14.532584,TRUE
"144","Aerodramus fuciphagus",132.868186,-14.524802,TRUE
"145","Aerodramus fuciphagus",133.157001,-14.523602,TRUE
"146","Aerodramus fuciphagus",143.8877785,-14.5213172,TRUE
"147","Aerodramus fuciphagus",144.96322,-14.51928,TRUE
"148","Aerodramus fuciphagus",132.3649281,-14.5130705,TRUE
"149","Aerodramus fuciphagus",121.2941271,-14.5055602,TRUE
"150","Aerodramus fuciphagus",132.182594,-14.502361,TRUE
"151","Aerodramus fuciphagus",143.41541,-14.49278,TRUE
"152","Aerodramus fuciphagus",125.792179,-14.49236,TRUE
"153","Aerodramus fuciphagus",132.2516,-14.4902,TRUE
"154","Aerodramus fuciphagus",126.768259,-14.488731,TRUE
"155","Aerodramus fuciphagus",132.315844,-14.484974,TRUE
"156","Aerodramus fuciphagus",144.208639,-14.480253,TRUE
"157","Aerodramus fuciphagus",144.55177,-14.476451,TRUE
"158","Aerodramus fuciphagus",135.24273,-14.445002,TRUE
"159","Aerodramus fuciphagus",131.670645,-14.436277,TRUE
"160","Aerodramus fuciphagus",132.2713106,-14.4224182,TRUE
"161","Aerodramus fuciphagus",135.297954,-14.418336,TRUE
"162","Aerodramus fuciphagus",135.121384,-14.416731,TRUE
"163","Aerodramus fuciphagus",132.321931,-14.41643,TRUE
"164","Aerodramus fuciphagus",132.216907,-14.413491,TRUE
"165","Aerodramus fuciphagus",131.633898,-14.40184,TRUE
"166","Aerodramus fuciphagus",143.36194,-14.39639,TRUE
"167","Aerodramus fuciphagus",132.376783,-14.393582,TRUE
"168","Aerodramus fuciphagus",132.788211,-14.385152,TRUE
"169","Aerodramus fuciphagus",135.327793,-14.382086,TRUE
"170","Aerodramus fuciphagus",132.165856,-14.377855,TRUE
"171","Aerodramus fuciphagus",144.535311,-14.37479,TRUE
"172","Aerodramus fuciphagus",129.915849,-14.373193,TRUE
"173","Aerodramus fuciphagus",131.577202,-14.371612,TRUE
"174","Aerodramus fuciphagus",144.75444,-14.36189,TRUE
"175","Aerodramus fuciphagus",144.6152778,-14.3613889,TRUE
"176","Aerodramus fuciphagus",133.372465,-14.356238,TRUE
"177","Aerodramus fuciphagus",132.418546,-14.353367,TRUE
"178","Aerodramus fuciphagus",132.47388,-14.33,TRUE
"179","Aerodramus fuciphagus",132.117778,-14.328671,TRUE
"180","Aerodramus fuciphagus",143.32135,-14.31272,TRUE
"181","Aerodramus fuciphagus",132.4324179,-14.3095061,TRUE
"182","Aerodramus fuciphagus",144.219767,-14.308772,TRUE
"183","Aerodramus fuciphagus",132.526725,-14.302349,TRUE
"184","Aerodramus fuciphagus",132.080279,-14.294733,TRUE
"185","Aerodramus fuciphagus",132.633765,-14.28969,TRUE
"186","Aerodramus fuciphagus",132.575304,-14.287602,TRUE
"187","Aerodramus fuciphagus",126.63333,-14.28555,TRUE
"188","Aerodramus fuciphagus",135.514477,-14.278813,TRUE
"189","Aerodramus fuciphagus",135.7446295,-14.2772503,TRUE
"190","Aerodramus fuciphagus",132.829989,-14.271245,TRUE
"191","Aerodramus fuciphagus",144.4983549,-14.2664156,TRUE
"192","Aerodramus fuciphagus",133.495816,-14.263858,TRUE
"193","Aerodramus fuciphagus",144.4331102,-14.2610093,TRUE
"194","Aerodramus fuciphagus",135.575326,-14.249189,TRUE
"195","Aerodramus fuciphagus",133.620624,-14.246697,TRUE
"196","Aerodramus fuciphagus",132.050578,-14.240219,TRUE
"197","Aerodramus fuciphagus",132.173654,-14.239869,TRUE
"198","Aerodramus fuciphagus",136.325711,-14.235531,TRUE
"199","Aerodramus fuciphagus",136.505726,-14.235398,TRUE
"200","Aerodramus fuciphagus",123.504723,-14.22719,TRUE
"201","Aerodramus fuciphagus",143.662987,-14.225858,TRUE
"202","Aerodramus fuciphagus",132.434836,-14.223186,TRUE
"203","Aerodramus fuciphagus",136.4550447,-14.2182058,TRUE
"204","Aerodramus fuciphagus",132.663791,-14.215287,TRUE
"205","Aerodramus fuciphagus",135.628179,-14.200975,TRUE
"206","Aerodramus fuciphagus",132.850982,-14.1936782,TRUE
"207","Aerodramus fuciphagus",136.37263,-14.18952,TRUE
"208","Aerodramus fuciphagus",132.082416,-14.18707,TRUE
"209","Aerodramus fuciphagus",132.18784,-14.18051,TRUE
"210","Aerodramus fuciphagus",133.741277,-14.17065,TRUE
"211","Aerodramus fuciphagus",132.43163,-14.16783,TRUE
"212","Aerodramus fuciphagus",132.701511,-14.162903,TRUE
"213","Aerodramus fuciphagus",136.4189687,-14.1591302,TRUE
"214","Aerodramus fuciphagus",132.0056677,-14.1524307,TRUE
"215","Aerodramus fuciphagus",144.517835,-14.148237,TRUE
"216","Aerodramus fuciphagus",132.28253,-14.14655,TRUE
"217","Aerodramus fuciphagus",133.096956,-14.145811,TRUE
"218","Aerodramus fuciphagus",133.811758,-14.140469,TRUE
"219","Aerodramus fuciphagus",132.55004,-14.13657,TRUE
"220","Aerodramus fuciphagus",143.27526,-14.13331,TRUE
"221","Aerodramus fuciphagus",132.05528,-14.12972,TRUE
"222","Aerodramus fuciphagus",126.306933,-14.128475,TRUE
"223","Aerodramus fuciphagus",144.477671,-14.119636,TRUE
"224","Aerodramus fuciphagus",131.4222609,-14.1170426,TRUE
"225","Aerodramus fuciphagus",132.383535,-14.116238,TRUE
"226","Aerodramus fuciphagus",132.334033,-14.112746,TRUE
"227","Aerodramus fuciphagus",132.133673,-14.11018,TRUE
"228","Aerodramus fuciphagus",123.54889,-14.10944,TRUE
